node_id,branch_length,bpp_ll,fit_ll
0,0.01,-13453.5,-13451.9
0,0.02,-13448.4,-13447.2
0,0.03,-13443.6,-13442.6
0,0.04,-13439,-13438.3
0,0.05,-13434.6,-13434.1
0,0.06,-13430.5,-13430.1
0,0.07,-13426.5,-13426.3
0,0.08,-13422.7,-13422.6
0,0.09,-13419.1,-13419
0,0.1,-13415.6,-13415.6
0,0.11,-13412.3,-13412.4
0,0.12,-13409.2,-13409.3
0,0.13,-13406.2,-13406.3
0,0.14,-13403.3,-13403.4
0,0.15,-13400.6,-13400.6
0,0.16,-13397.9,-13398
0,0.17,-13395.4,-13395.5
0,0.18,-13393,-13393.1
0,0.19,-13390.7,-13390.8
0,0.2,-13388.6,-13388.6
0,0.21,-13386.5,-13386.5
0,0.22,-13384.5,-13384.4
0,0.23,-13382.6,-13382.5
0,0.24,-13380.8,-13380.7
0,0.25,-13379,-13378.9
0,0.26,-13377.4,-13377.3
0,0.27,-13375.8,-13375.7
0,0.28,-13374.3,-13374.1
0,0.29,-13372.9,-13372.7
0,0.3,-13371.5,-13371.3
0,0.31,-13370.2,-13370
0,0.32,-13369,-13368.8
0,0.33,-13367.8,-13367.6
0,0.34,-13366.7,-13366.5
0,0.35,-13365.6,-13365.4
0,0.36,-13364.6,-13364.4
0,0.37,-13363.7,-13363.5
0,0.38,-13362.8,-13362.6
0,0.39,-13361.9,-13361.7
0,0.4,-13361.1,-13360.9
0,0.41,-13360.3,-13360.2
0,0.42,-13359.6,-13359.4
0,0.43,-13358.9,-13358.8
0,0.44,-13358.3,-13358.1
0,0.45,-13357.7,-13357.6
0,0.46,-13357.1,-13357
0,0.47,-13356.6,-13356.5
0,0.48,-13356.1,-13356
0,0.49,-13355.6,-13355.6
0,0.5,-13355.2,-13355.2
0,0.51,-13354.8,-13354.8
0,0.52,-13354.4,-13354.5
0,0.53,-13354.1,-13354.1
0,0.54,-13353.8,-13353.8
0,0.55,-13353.5,-13353.6
0,0.56,-13353.2,-13353.3
0,0.57,-13353,-13353.1
0,0.58,-13352.8,-13352.9
0,0.59,-13352.6,-13352.8
0,0.6,-13352.4,-13352.6
0,0.61,-13352.2,-13352.5
0,0.62,-13352.1,-13352.4
0,0.63,-13352,-13352.3
0,0.64,-13351.9,-13352.2
