iter,c,m,r,b,status
1,10441.310951,8846.597740,2.005000,0.702234,success
2,10185.539805,9112.792271,1.864870,0.903829,success
3,10165.510873,9137.229755,1.648960,1.084077,success
4,10201.154284,9106.586178,1.537033,1.182794,success
5,10209.094948,9099.953100,1.520097,1.202436,success
6,10209.302821,9099.778008,1.519610,1.203099,success
7,10209.303028,9099.777830,1.519609,1.203100,success
1,10454.175332,8836.313613,2.005803,0.703694,success
2,10206.077294,9095.052539,1.864349,0.909186,success
3,10187.632601,9118.154498,1.642159,1.098623,success
4,10224.851046,9086.415922,1.519768,1.209751,success
5,10234.447640,9078.434533,1.498644,1.235002,success
6,10234.774267,9078.160358,1.497875,1.236088,success
7,10234.774790,9078.159907,1.497874,1.236090,success
1,10403.785525,8865.837247,2.044072,0.710381,success
2,10101.799714,9179.873459,1.963348,0.927635,success
3,10025.616771,9258.448423,1.760071,1.153122,success
4,10049.497937,9237.853966,1.554234,1.347917,success
5,10072.392451,9217.630350,1.477142,1.439406,success
6,10075.574098,9214.857133,1.467549,1.453942,success
7,10075.633158,9214.804644,1.467358,1.454267,success
8,10075.633186,9214.804620,1.467358,1.454267,success
1,10606.895999,8740.563294,2.063867,0.691326,success
2,10556.058039,8827.199627,1.919152,0.886544,success
3,10631.518508,8764.762844,1.695909,1.073265,success
4,10692.821834,8715.916295,1.561924,1.197824,success
5,10710.656455,8702.085057,1.529574,1.235589,success
6,10711.816447,8701.155178,1.527632,1.238271,success
7,10711.821774,8701.150703,1.527623,1.238284,success
1,10663.398707,8725.775285,1.628965,0.747882,success
2,10649.225064,8746.720751,1.427972,0.904011,success
3,10689.476430,8716.473256,1.327673,0.995003,success
4,10693.663863,8713.572750,1.322387,1.006498,success
5,10693.727288,8713.515237,1.322295,1.006709,success
6,10693.727309,8713.515217,1.322295,1.006709,success
1,10389.372511,8874.764045,2.123790,0.701878,success
2,10200.268217,9107.316973,2.071846,0.915003,success
3,10203.612968,9109.827366,1.869558,1.152387,success
4,10266.890526,9053.199571,1.604571,1.411916,success
5,10321.991442,9006.007795,1.424136,1.629258,success
6,10346.404731,8985.475564,1.359313,1.733844,success
7,10350.213842,8982.191827,1.350332,1.751878,success
8,10350.310469,8982.105212,1.350129,1.752339,success
9,10350.310535,8982.105150,1.350128,1.752339,success
1,10443.787335,8837.303836,2.036302,0.712664,success
2,10175.912098,9117.299296,1.934752,0.938256,success
3,10126.984711,9169.579735,1.701214,1.186234,success
4,10163.882335,9138.015951,1.468331,1.421829,success
5,10196.143702,9110.463347,1.366708,1.558163,success
6,10202.994593,9104.644711,1.348122,1.590835,success
7,10203.277204,9104.397977,1.347355,1.592393,success
8,10203.277802,9104.397441,1.347353,1.592397,success
1,10485.416130,8810.292914,2.024631,0.710298,success
2,10252.129859,9055.307115,1.904122,0.931465,success
3,10228.375014,9083.345678,1.670949,1.164744,success
4,10266.911619,9050.917228,1.481608,1.359316,success
5,10288.916655,9032.583207,1.416292,1.447702,success
6,10291.904419,9030.066162,1.408322,1.461203,success
7,10291.960812,9030.016894,1.408177,1.461479,success
8,10291.960836,9030.016872,1.408177,1.461479,success
1,10392.503725,8872.756511,2.050688,0.712038,success
2,10078.513634,9199.179757,1.981809,0.932534,success
3,9987.995606,9291.830459,1.785425,1.167382,success
4,10006.922336,9275.766339,1.554252,1.389862,success
5,10035.748475,9249.961406,1.448139,1.516064,success
6,10041.609937,9244.806264,1.430155,1.544206,success
7,10041.809936,9244.627785,1.429493,1.545395,success
8,10041.810255,9244.627496,1.429491,1.545397,success
1,10457.692786,8830.466788,2.023022,0.706212,success
2,10205.179753,9094.170264,1.907171,0.916026,success
3,10171.463284,9131.565592,1.694554,1.119299,success
4,10202.022054,9105.597216,1.547359,1.258919,success
5,10214.397857,9095.150557,1.512136,1.301643,success
6,10215.171761,9094.493114,1.509990,1.304778,success
7,10215.175302,9094.490018,1.509980,1.304794,success
1,10351.915398,8898.609730,2.136738,0.703346,success
2,10133.040808,9162.987836,2.112898,0.917666,success
3,10110.004451,9190.944324,1.946510,1.156834,success
4,10162.668837,9142.540325,1.677412,1.435866,success
5,10220.038233,9091.522318,1.442151,1.716962,success
6,10256.395507,9060.130874,1.322474,1.911412,success
7,10267.700452,9050.270263,1.290979,1.978709,success
8,10268.735347,9049.335620,1.288490,1.985047,success
9,10268.744468,9049.327129,1.288471,1.985099,success
1,10583.582609,8748.035265,1.991443,0.707983,success
2,10422.311714,8921.125994,1.818200,0.932515,success
