node_id,branch_length,bpp_ll,fit_ll
0,0.01,-29847.6,-29818.8
0,0.02,-29824,-29802.3
0,0.03,-29802.6,-29786.6
0,0.04,-29783.2,-29771.5
0,0.05,-29765.3,-29757
0,0.06,-29748.9,-29743.3
0,0.07,-29733.6,-29730.1
0,0.08,-29719.5,-29717.5
0,0.09,-29706.3,-29705.5
0,0.1,-29694,-29694
0,0.11,-29682.5,-29683.1
0,0.12,-29671.7,-29672.6
0,0.13,-29661.6,-29662.7
0,0.14,-29652.1,-29653.2
0,0.15,-29643.1,-29644.2
0,0.16,-29634.6,-29635.6
0,0.17,-29626.7,-29627.5
0,0.18,-29619.2,-29619.7
0,0.19,-29612.1,-29612.3
0,0.2,-29605.4,-29605.4
0,0.21,-29599,-29598.7
0,0.22,-29593,-29592.4
0,0.23,-29587.3,-29586.5
0,0.24,-29582,-29580.8
0,0.25,-29576.9,-29575.5
0,0.26,-29572.1,-29570.5
0,0.27,-29567.6,-29565.7
0,0.28,-29563.3,-29561.3
0,0.29,-29559.3,-29557.1
0,0.3,-29555.4,-29553.1
0,0.31,-29551.8,-29549.4
0,0.32,-29548.4,-29545.9
0,0.33,-29545.2,-29542.7
0,0.34,-29542.2,-29539.6
0,0.35,-29539.4,-29536.8
0,0.36,-29536.7,-29534.2
0,0.37,-29534.2,-29531.7
0,0.38,-29531.9,-29529.5
0,0.39,-29529.7,-29527.4
0,0.4,-29527.7,-29525.5
0,0.41,-29525.8,-29523.8
0,0.42,-29524,-29522.2
0,0.43,-29522.4,-29520.7
0,0.44,-29520.9,-29519.4
0,0.45,-29519.5,-29518.2
0,0.46,-29518.2,-29517.2
0,0.47,-29517.1,-29516.3
0,0.48,-29516,-29515.5
0,0.49,-29515.1,-29514.8
0,0.5,-29514.3,-29514.3
0,0.51,-29513.5,-29513.8
0,0.52,-29512.9,-29513.5
0,0.53,-29512.4,-29513.2
0,0.54,-29511.9,-29513
0,0.55,-29511.5,-29513
0,0.56,-29511.3,-29513
0,0.57,-29511.1,-29513
0,0.58,-29510.9,-29513.2
0,0.59,-29510.9,-29513.4
0,0.6,-29510.9,-29513.7
0,0.61,-29511,-29514.1
0,0.62,-29511.2,-29514.5
0,0.63,-29511.4,-29515
0,0.64,-29511.7,-29515.6
0,0.65,-29512.1,-29516.2
0,0.66,-29512.5,-29516.8
0,0.67,-29513,-29517.5
0,0.68,-29513.6,-29518.2
0,0.69,-29514.2,-29519
0,0.7,-29514.9,-29519.9
0,0.71,-29515.6,-29520.7
0,0.72,-29516.4,-29521.6
0,0.73,-29517.2,-29522.6
0,0.74,-29518.1,-29523.5
0,0.75,-29519,-29524.5
0,0.76,-29520,-29525.6
0,0.77,-29521,-29526.6
0,0.78,-29522.1,-29527.7
0,0.79,-29523.2,-29528.8
0,0.8,-29524.4,-29530
0,0.81,-29525.6,-29531.1
0,0.82,-29526.8,-29532.3
0,0.83,-29528.1,-29533.5
0,0.84,-29529.4,-29534.7
0,0.85,-29530.8,-29535.9
0,0.86,-29532.2,-29537.1
0,0.87,-29533.6,-29538.4
0,0.88,-29535.1,-29539.6
0,0.89,-29536.6,-29540.9
0,0.9,-29538.1,-29542.1
0,0.91,-29539.7,-29543.4
0,0.92,-29541.3,-29544.7
0,0.93,-29542.9,-29546
0,0.94,-29544.6,-29547.3
0,0.95,-29546.3,-29548.6
0,0.96,-29548,-29549.9
0,0.97,-29549.8,-29551.2
0,0.98,-29551.5,-29552.6
0,0.99,-29553.4,-29553.9
1,0.01,-29972.7,-29932.8
1,0.02,-29941.2,-29911.5
1,0.03,-29912.9,-29891.1
1,0.04,-29887.3,-29871.5
1,0.05,-29864,-29852.9
1,0.06,-29842.5,-29835
1,0.07,-29822.7,-29818
1,0.08,-29804.3,-29801.7
1,0.09,-29787.2,-29786.2
1,0.1,-29771.3,-29771.3
1,0.11,-29756.4,-29757.1
1,0.12,-29742.4,-29743.6
1,0.13,-29729.2,-29730.7
1,0.14,-29716.8,-29718.3
1,0.15,-29705.2,-29706.6
1,0.16,-29694.1,-29695.4
1,0.17,-29683.7,-29684.7
1,0.18,-29673.9,-29674.6
1,0.19,-29664.5,-29664.9
1,0.2,-29655.7,-29655.7
1,0.21,-29647.3,-29646.9
1,0.22,-29639.3,-29638.6
1,0.23,-29631.8,-29630.7
1,0.24,-29624.6,-29623.1
1,0.25,-29617.7,-29616
1,0.26,-29611.3,-29609.2
1,0.27,-29605.1,-29602.8
1,0.28,-29599.2,-29596.7
1,0.29,-29593.6,-29590.9
1,0.3,-29588.3,-29585.5
1,0.31,-29583.3,-29580.3
1,0.32,-29578.5,-29575.4
1,0.33,-29574,-29570.8
1,0.34,-29569.6,-29566.5
1,0.35,-29565.5,-29562.4
