iter,c,m,r,b,status
1,23468.239115,19300.203613,1.936047,0.688201,success
2,23194.739013,19597.349278,1.737668,0.860914,success
3,23274.152818,19539.165946,1.583646,0.974441,success
4,23316.399987,19506.577358,1.548733,1.006611,success
5,23318.660645,19504.847243,1.546967,1.008632,success
6,23318.667930,19504.841410,1.546961,1.008639,success
1,23231.598436,19470.056233,1.974451,0.676142,success
2,22818.580153,19900.532000,1.839564,0.819003,success
3,22826.336948,19900.968197,1.733232,0.894217,success
4,22843.604449,19886.721761,1.714946,0.908284,success
5,22844.062044,19886.354621,1.714516,0.908684,success
6,22844.062354,19886.354365,1.714515,0.908684,success
1,23194.957712,19595.901904,1.495689,0.828599,success
2,23155.657737,19636.147133,1.436122,0.925097,success
3,23129.660791,19660.551024,1.370637,0.994626,success
4,23128.484434,19663.500309,1.315626,1.049167,success
5,23213.008561,19596.069396,1.208506,1.140998,success
6,23332.421212,19500.384344,1.137474,1.206603,success
7,23395.966631,19450.714264,1.107691,1.235872,success
8,23519.846874,19353.481107,1.044341,1.295523,success
9,23648.183403,19255.007025,0.990234,1.352520,success
10,23777.823964,19157.277035,0.940522,1.408888,success
11,23877.322893,19083.735757,0.906919,1.450289,success
12,23880.811911,19081.630118,0.906974,1.451260,success
13,23880.816126,19081.625955,0.906974,1.451261,success
1,23421.271400,19408.737577,2.247248,0.659773,success
2,23753.353550,19255.425142,2.241910,0.784714,success
3,24031.633531,18988.716598,2.179510,0.857232,success
4,24091.097414,18932.115142,2.160172,0.876320,success
5,24093.726850,18929.642852,2.159140,0.877343,success
6,24093.733163,18929.636939,2.159137,0.877345,success
1,23466.977177,19496.368690,1.183315,0.850265,success
2,24538.260933,18592.934985,1.029398,0.989840,success
3,24543.473152,18616.663760,1.026345,1.026647,success
4,24545.386884,18614.964547,1.025846,1.028648,success
5,24545.393235,18614.959056,1.025844,1.028653,success
1,23890.571253,19020.820783,1.881770,0.709578,success
2,23843.878750,19110.390709,1.584862,0.947486,success
3,24093.266046,18929.511463,1.315099,1.183064,success
4,24298.224778,18786.263084,1.193601,1.336763,success
5,24352.797000,18748.122095,1.167063,1.383418,success
6,24356.176060,18745.603369,1.165479,1.386793,success
7,24356.191657,18745.590985,1.165472,1.386809,success
1,23168.128673,19509.076790,1.972199,0.690155,success
2,22708.998927,19988.607823,1.806869,0.864644,success
3,22734.358949,19975.806371,1.639834,0.985652,success
4,22782.041345,19936.092120,1.594341,1.023577,success
5,22785.170003,19933.581802,1.591717,1.026373,success
6,22785.182901,19933.571135,1.591705,1.026387,success
1,23620.609795,19207.959316,2.049632,0.683017,success
2,23583.610336,19317.819599,1.903875,0.858555,success
3,23742.066290,19187.632105,1.727700,1.000891,success
4,23825.621725,19122.235612,1.653650,1.067193,success
5,23837.831065,19112.797783,1.644120,1.077350,success
6,23838.060950,19112.613055,1.643950,1.077553,success
1,23797.006454,19161.645900,1.277258,0.872053,success
2,24295.220365,18778.749969,1.030029,1.145317,success
3,24655.570925,18537.112524,0.888548,1.366828,success
4,24750.611622,18478.497704,0.863066,1.441637,success
5,24756.822670,18474.065721,0.861105,1.448755,success
6,24756.868783,18474.030628,0.861090,1.448813,success
1,23468.993560,19302.344262,1.989512,0.656555,success
2,23163.458809,19622.214781,1.903653,0.761746,success
3,23157.127684,19632.444607,1.854625,0.799451,success
4,23160.226768,19630.000984,1.849939,0.802995,success
5,23160.254863,19629.978642,1.849906,0.803023,success
1,23718.848471,19164.486016,2.015974,0.697744,success
2,23770.408565,19197.010466,1.785333,0.918916,success
3,24084.910175,18949.226746,1.472494,1.166120,success
4,24399.110047,18722.046567,1.261848,1.384150,success
5,24559.273474,18610.922908,1.183157,1.500483,success
6,24587.743161,18590.501330,1.170777,1.524586,success
7,24588.659352,18589.792600,1.170401,1.525441,success
8,24588.660466,18589.791689,1.170400,1.525442,success
1,23593.920870,19219.799463,2.064176,0.677896,success
2,23530.047883,19352.570816,1.951003,0.832006,success
3,23639.476646,19261.506937,1.825619,0.935847,success
4,23681.418357,19227.707801,1.786115,0.969541,success
5,23684.609105,19225.171499,1.783361,0.972168,success
6,23684.626251,19225.157497,1.783347,0.972182,success
1,24618.318781,18519.318321,1.588636,0.603961,success
2,24492.086171,18601.485559,1.498222,0.687881,success
3,24341.969949,18746.439122,1.264487,0.871892,success
4,24547.137541,18611.809401,1.071433,1.052869,success
5,24866.452542,18397.478185,0.954470,1.182084,success
6,25010.593067,18307.335848,0.916881,1.233955,success
7,25016.489289,18304.244522,0.916132,1.236815,success
8,25016.501764,18304.234108,0.916129,1.236825,success
1,23683.117785,19252.986524,1.294153,0.863492,success
2,24319.041706,18750.881293,0.978166,1.157898,success
3,24556.876289,18608.987066,0.912904,1.321550,success
4,24596.906340,18580.048414,0.898353,1.365711,success
5,24598.910542,18578.569078,0.897626,1.368185,success
6,24598.916203,18578.564746,0.897624,1.368193,success
1,24037.324628,18975.188614,2.087661,0.655960,success
2,24164.414810,18908.776206,2.030853,0.769022,success
3,24279.315699,18803.089614,1.980487,0.819857,success
4,24295.285284,18788.782525,1.972422,0.827552,success
5,24295.563307,18788.537189,1.972271,0.827699,success
1,23728.513847,19128.156495,2.047612,0.610375,success
2,23520.313975,19346.127299,2.051438,0.652031,success
3,23510.934265,19355.910563,2.049894,0.656813,success
4,23510.940937,19355.907873,2.049849,0.656872,success
1,23472.562552,19294.990931,2.100279,0.672614,success
2,23349.230843,19489.024968,2.045676,0.809797,success
3,23422.596672,19424.971556,1.968471,0.888406,success
4,23446.178193,19404.216535,1.946705,0.907801,success
5,23447.251391,19403.297408,1.945705,0.908714,success
6,23447.253572,19403.295537,1.945703,0.908716,success
1,23297.487454,19451.879408,2.160833,0.684054,success
2,23509.949501,19416.194155,1.975711,0.884363,success
3,23879.044220,19104.715050,1.644048,1.116726,success
4,24221.307759,18846.852981,1.373336,1.349641,success
5,24448.521346,18686.550489,1.242039,1.509471,success
6,24515.033085,18639.538600,1.210106,1.562660,success
7,24520.019194,18635.785824,1.207873,1.567205,success
8,24520.051351,18635.759952,1.207859,1.567235,success
