node_id,lcfit_t,lcfit_n,brent_t,brent_n,lcfit_fit_t,lcfit_fit_n
0,0.590794,10,0.59102,13,0.554719,4
1,0.684187,10,0.684513,12,0.648897,4
2,1.0184,11,1.01811,13,0.965433,5
3,0.0986513,8,0.0984189,17,0.104534,4
4,0.96621,13,0.96625,13,0.906168,5
5,0.364779,12,0.364779,14,0.362616,4
6,0.702454,10,0.702695,12,0.67415,4
7,0.263863,8,0.264715,14,0.265001,4
8,0.806034,15,0.806034,13,0.79106,5
9,0.594218,10,0.594606,14,0.545659,4
10,0.160034,8,0.159763,14,0.160964,4
11,0.299995,8,0.299459,13,0.29738,4
12,0.819058,15,0.819058,13,0.798581,5
13,0.852254,15,0.852254,13,0.826684,5
14,0.210724,10,0.210716,16,0.215327,4
15,0.533227,10,0.533435,13,0.481641,4
16,0.308099,8,0.307595,15,0.304468,4
17,0.081044,8,0.0809264,17,0.0824029,4
