node_id,branch_length,bpp_ll,fit_ll
0,0.01,-23998.3,-23982.4
0,0.02,-23984.8,-23973.4
0,0.03,-23972.9,-23964.6
0,0.04,-23962.2,-23956.3
0,0.05,-23952.4,-23948.2
0,0.06,-23943.3,-23940.6
0,0.07,-23934.9,-23933.2
0,0.08,-23927.1,-23926.1
0,0.09,-23919.8,-23919.4
0,0.1,-23912.9,-23912.9
0,0.11,-23906.4,-23906.7
0,0.12,-23900.3,-23900.7
0,0.13,-23894.5,-23895.1
0,0.14,-23889.1,-23889.7
0,0.15,-23883.9,-23884.5
0,0.16,-23879.1,-23879.5
0,0.17,-23874.4,-23874.8
0,0.18,-23870,-23870.3
0,0.19,-23865.9,-23866
0,0.2,-23861.9,-23861.9
0,0.21,-23858.1,-23858
0,0.22,-23854.6,-23854.3
0,0.23,-23851.1,-23850.7
0,0.24,-23847.9,-23847.4
0,0.25,-23844.8,-23844.2
0,0.26,-23841.9,-23841.1
0,0.27,-23839.2,-23838.3
0,0.28,-23836.5,-23835.5
0,0.29,-23834,-23833
0,0.3,-23831.6,-23830.5
0,0.31,-23829.4,-23828.2
0,0.32,-23827.2,-23826
0,0.33,-23825.2,-23824
0,0.34,-23823.3,-23822.1
0,0.35,-23821.5,-23820.2
0,0.36,-23819.8,-23818.5
0,0.37,-23818.1,-23816.9
0,0.38,-23816.6,-23815.4
0,0.39,-23815.2,-23814.1
0,0.4,-23813.8,-23812.8
0,0.41,-23812.5,-23811.5
0,0.42,-23811.3,-23810.4
0,0.43,-23810.2,-23809.4
0,0.44,-23809.2,-23808.4
0,0.45,-23808.2,-23807.6
0,0.46,-23807.3,-23806.8
0,0.47,-23806.4,-23806.1
0,0.48,-23805.7,-23805.4
0,0.49,-23804.9,-23804.8
0,0.5,-23804.3,-23804.3
0,0.51,-23803.7,-23803.8
0,0.52,-23803.2,-23803.4
0,0.53,-23802.7,-23803.1
0,0.54,-23802.3,-23802.8
0,0.55,-23801.9,-23802.6
0,0.56,-23801.6,-23802.4
0,0.57,-23801.3,-23802.2
0,0.58,-23801.1,-23802.1
0,0.59,-23800.9,-23802.1
0,0.6,-23800.7,-23802.1
0,0.61,-23800.6,-23802.1
0,0.62,-23800.6,-23802.2
0,0.63,-23800.6,-23802.3
0,0.64,-23800.6,-23802.4
0,0.65,-23800.7,-23802.6
0,0.66,-23800.8,-23802.8
0,0.67,-23800.9,-23803.1
0,0.68,-23801.1,-23803.3
0,0.69,-23801.3,-23803.6
0,0.7,-23801.6,-23803.9
0,0.71,-23801.8,-23804.3
0,0.72,-23802.1,-23804.7
0,0.73,-23802.5,-23805.1
