iter,c,m,r,b,status
1,18745.706520,15681.159990,1.975385,0.700673,success
2,18397.222298,16048.524449,1.793849,0.901845,success
3,18426.989319,16032.385128,1.574687,1.074821,success
4,18495.600668,15976.301477,1.485168,1.158913,success
5,18506.405982,15967.713863,1.473905,1.172840,success
6,18506.614007,15967.543720,1.473671,1.173173,success
7,18506.614115,15967.543630,1.473671,1.173173,success
1,19116.435603,15471.613040,1.456459,0.841713,success
2,19195.378548,15432.497981,1.142846,1.155524,success
3,19407.696073,15280.418609,0.968929,1.423741,success
4,19596.473418,15148.361286,0.862606,1.622863,success
5,19633.401859,15124.478684,0.849867,1.670152,success
6,19634.751129,15123.409740,0.849302,1.672650,success
7,19634.754554,15123.406891,0.849301,1.672656,success
1,18699.519882,15756.878755,1.676443,0.799594,success
2,18654.048553,15828.293158,1.614157,0.880073,success
3,18524.462606,15945.916606,1.447785,1.040052,success
4,18501.154821,15965.838454,1.432204,1.078251,success
5,18460.105912,16003.402095,1.368053,1.154138,success
6,18440.197649,16022.087008,1.313446,1.221716,success
7,18443.951140,16020.255746,1.259586,1.285207,success
8,18508.043191,15967.691820,1.156747,1.393330,success
9,18592.746449,15898.369887,1.079726,1.484353,success
10,18617.409652,15878.851156,1.064622,1.507121,success
11,18663.810807,15841.415257,1.026763,1.553964,success
12,18704.025806,15809.335826,0.997927,1.592605,success
13,18784.104422,15745.738574,0.941419,1.670292,success
14,18826.739523,15712.661404,0.918452,1.707337,success
15,18872.482392,15677.105257,0.891808,1.748960,success
16,18874.013217,15676.049213,0.891821,1.749799,success
17,18874.014764,15676.047678,0.891821,1.749800,success
1,18736.297683,15731.588093,2.221851,0.672596,success
2,18901.551204,15714.481605,2.163780,0.831489,success
3,19129.045561,15503.148895,2.018212,0.962877,success
4,19222.181243,15419.369023,1.938961,1.032343,success
5,19237.325406,15406.068259,1.924985,1.046020,success
6,19237.777484,15405.666732,1.924582,1.046449,success
7,19237.777924,15405.666334,1.924581,1.046449,success
1,18782.355254,15796.331376,1.364806,0.814700,success
2,19332.637483,15317.707753,1.087395,1.003048,success
3,19383.245266,15300.266039,1.083392,1.051989,success
4,19387.889011,15295.846752,1.082499,1.055748,success
5,19387.910866,15295.826578,1.082492,1.055769,success
1,19011.651200,15502.356085,1.944985,0.713338,success
2,18827.782324,15711.561492,1.695963,0.959336,success
3,18958.793897,15613.525534,1.381748,1.237102,success
4,19143.866427,15474.361331,1.186310,1.476114,success
5,19235.696653,15407.046898,1.117854,1.598667,success
6,19250.811314,15395.588063,1.107614,1.622568,success
7,19251.250508,15395.233585,1.107330,1.623329,success
8,19251.250944,15395.233217,1.107330,1.623330,success
1,19041.019019,15513.459989,1.524892,0.832795,success
2,18978.237973,15583.593230,1.420263,1.000521,success
3,18950.936961,15606.458044,1.387941,1.073165,success
4,18964.064966,15603.668162,1.235298,1.230692,success
5,19041.285179,15546.947078,1.128384,1.360045,success
6,19073.625851,15523.235524,1.103337,1.399814,success
7,19138.014533,15475.792177,1.040478,1.477078,success
8,19183.381786,15442.725536,1.006892,1.524610,success
9,19272.467816,15378.026203,0.938365,1.621215,success
10,19367.500385,15310.016560,0.881453,1.713594,success
11,19464.634364,15241.482685,0.830052,1.804593,success
