node_id,lcfit_t,lcfit_n,brent_t,brent_n,lcfit_fit_t,lcfit_fit_n
0,0.627495,10,0.627685,14,0.596837,4
1,0.731883,15,0.731883,13,0.73146,5
2,0.95232,11,0.952387,13,0.918777,5
3,0.0913972,12,0.091399,15,0.097536,4
4,0.974543,13,0.974571,13,0.918579,5
5,0.357953,8,0.360576,15,0.359422,4
6,0.731135,11,0.731254,13,0.731168,5
7,0.254026,8,0.254537,14,0.255161,4
8,0.824415,11,0.824726,13,0.809453,5
9,0.646414,10,0.64672,16,0.608155,4
10,0.191907,8,0.191857,16,0.19309,4
11,0.302481,8,0.302094,13,0.300406,4
12,0.839365,15,0.839372,13,0.818196,5
13,0.846226,13,0.846236,13,0.825156,5
14,0.207122,8,0.207135,14,0.211245,4
15,0.521506,10,0.521608,14,0.478959,4
16,0.22792,8,0.228383,13,0.230706,4
17,0.112975,8,0.113024,15,0.113924,4
