node_id,branch_length,bpp_ll,fit_ll
0,0.01,-13279.5,-13279
0,0.02,-13276.9,-13276.5
0,0.03,-13274.4,-13274.1
0,0.04,-13272,-13271.8
0,0.05,-13269.7,-13269.6
0,0.06,-13267.6,-13267.5
0,0.07,-13265.5,-13265.4
0,0.08,-13263.5,-13263.5
0,0.09,-13261.7,-13261.6
0,0.1,-13259.9,-13259.9
0,0.11,-13258.2,-13258.2
0,0.12,-13256.6,-13256.6
0,0.13,-13255,-13255
0,0.14,-13253.5,-13253.6
0,0.15,-13252.1,-13252.2
0,0.16,-13250.8,-13250.8
0,0.17,-13249.6,-13249.6
0,0.18,-13248.4,-13248.4
0,0.19,-13247.2,-13247.2
0,0.2,-13246.1,-13246.1
0,0.21,-13245.1,-13245.1
0,0.22,-13244.2,-13244.1
0,0.23,-13243.2,-13243.2
0,0.24,-13242.4,-13242.3
0,0.25,-13241.6,-13241.5
0,0.26,-13240.8,-13240.7
0,0.27,-13240.1,-13240
0,0.28,-13239.4,-13239.3
0,0.29,-13238.7,-13238.7
0,0.3,-13238.2,-13238.1
0,0.31,-13237.6,-13237.5
0,0.32,-13237.1,-13237
0,0.33,-13236.6,-13236.5
0,0.34,-13236.1,-13236
0,0.35,-13235.7,-13235.6
0,0.36,-13235.3,-13235.2
0,0.37,-13235,-13234.9
0,0.38,-13234.6,-13234.6
0,0.39,-13234.3,-13234.3
0,0.4,-13234.1,-13234
0,0.41,-13233.8,-13233.8
0,0.42,-13233.6,-13233.6
0,0.43,-13233.4,-13233.4
0,0.44,-13233.3,-13233.2
0,0.45,-13233.1,-13233.1
0,0.46,-13233,-13233
0,0.47,-13232.9,-13232.9
0,0.48,-13232.8,-13232.8
0,0.49,-13232.7,-13232.7
0,0.5,-13232.7,-13232.7
0,0.51,-13232.7,-13232.7
0,0.52,-13232.7,-13232.7
0,0.53,-13232.7,-13232.7
0,0.54,-13232.7,-13232.7
0,0.55,-13232.7,-13232.8
0,0.56,-13232.8,-13232.9
0,0.57,-13232.9,-13232.9
0,0.58,-13233,-13233
0,0.59,-13233.1,-13233.1
0,0.6,-13233.2,-13233.3
0,0.61,-13233.3,-13233.4
0,0.62,-13233.4,-13233.5
0,0.63,-13233.6,-13233.7
0,0.64,-13233.7,-13233.9
0,0.65,-13233.9,-13234
0,0.66,-13234.1,-13234.2
0,0.67,-13234.3,-13234.4
0,0.68,-13234.5,-13234.6
0,0.69,-13234.7,-13234.8
0,0.7,-13234.9,-13235
0,0.71,-13235.1,-13235.3
0,0.72,-13235.3,-13235.5
0,0.73,-13235.6,-13235.7
0,0.74,-13235.8,-13236
0,0.75,-13236.1,-13236.2
0,0.76,-13236.3,-13236.5
0,0.77,-13236.6,-13236.8
0,0.78,-13236.8,-13237
0,0.79,-13237.1,-13237.3
0,0.8,-13237.4,-13237.6
0,0.81,-13237.7,-13237.8
0,0.82,-13238,-13238.1
0,0.83,-13238.2,-13238.4
0,0.84,-13238.5,-13238.7
0,0.85,-13238.8,-13239
0,0.86,-13239.1,-13239.3
0,0.87,-13239.5,-13239.6
0,0.88,-13239.8,-13239.9
0,0.89,-13240.1,-13240.2
0,0.9,-13240.4,-13240.5
0,0.91,-13240.7,-13240.8
0,0.92,-13241,-13241.1
0,0.93,-13241.3,-13241.4
0,0.94,-13241.7,-13241.8
0,0.95,-13242,-13242.1
0,0.96,-13242.3,-13242.4
0,0.97,-13242.7,-13242.7
0,0.98,-13243,-13243
0,0.99,-13243.3,-13243.3
1,0.02,-13358.1,-13354.4
1,0.04,-13346.6,-13344.2
1,0.06,-13336.2,-13334.7
1,0.08,-13326.6,-13325.8
1,0.1,-13317.9,-13317.6
1,0.12,-13309.9,-13310
1,0.14,-13302.6,-13302.9
1,0.16,-13295.8,-13296.3
1,0.18,-13289.7,-13290.2
1,0.2,-13284,-13284.6
1,0.22,-13278.9,-13279.4
1,0.24,-13274.1,-13274.6
1,0.26,-13269.7,-13270.1
1,0.28,-13265.8,-13266.1
1,0.3,-13262.1,-13262.3
1,0.32,-13258.8,-13258.9
1,0.34,-13255.7,-13255.8
1,0.36,-13252.9,-13252.9
1,0.38,-13250.4,-13250.3
1,0.4,-13248.1,-13247.9
1,0.42,-13246,-13245.8
1,0.44,-13244.1,-13243.8
1,0.46,-13242.5,-13242.1
1,0.48,-13240.9,-13240.5
1,0.5,-13239.6,-13239.2
1,0.52,-13238.4,-13237.9
1,0.54,-13237.3,-13236.9
1,0.56,-13236.4,-13235.9
1,0.58,-13235.6,-13235.1
1,0.6,-13234.9,-13234.4
1,0.62,-13234.3,-13233.9
1,0.64,-13233.8,-13233.4
1,0.66,-13233.4,-13233
1,0.68,-13233.1,-13232.8
1,0.7,-13232.9,-13232.6
1,0.72,-13232.8,-13232.4
1,0.74,-13232.7,-13232.4
1,0.76,-13232.7,-13232.4
1,0.78,-13232.7,-13232.5
1,0.8,-13232.8,-13232.6
1,0.82,-13233,-13232.8
1,0.84,-13233.2,-13233.1
1,0.86,-13233.4,-13233.4
1,0.88,-13233.7,-13233.7
1,0.9,-13234,-13234.1
1,0.92,-13234.4,-13234.4
1,0.94,-13234.7,-13234.9
1,0.96,-13235.2,-13235.3
1,0.98,-13235.6,-13235.8
1,1,-13236.1,-13236.3
1,1.02,-13236.5,-13236.8
1,1.04,-13237.1,-13237.4
1,1.06,-13237.6,-13237.9
1,1.08,-13238.1,-13238.5
1,1.1,-13238.7,-13239.1
1,1.12,-13239.2,-13239.6
1,1.14,-13239.8,-13240.2
1,1.16,-13240.4,-13240.8
1,1.18,-13241,-13241.4
1,1.2,-13241.6,-13242.1
1,1.22,-13242.2,-13242.7
1,1.24,-13242.8,-13243.3
1,1.26,-13243.4,-13243.9
1,1.28,-13244,-13244.5
1,1.3,-13244.6,-13245.2
1,1.32,-13245.2,-13245.8
1,1.34,-13245.9,-13246.4
1,1.36,-13246.5,-13247
1,1.38,-13247.1,-13247.6
1,1.4,-13247.7,-13248.2
1,1.42,-13248.3,-13248.8
1,1.44,-13248.9,-13249.4
1,1.46,-13249.5,-13250
1,1.48,-13250.1,-13250.6
1,1.5,-13250.7,-13251.2
1,1.52,-13251.3,-13251.8
1,1.54,-13251.9,-13252.3
1,1.56,-13252.5,-13252.9
1,1.58,-13253,-13253.5
1,1.6,-13253.6,-13254
1,1.62,-13254.1,-13254.5
1,1.64,-13254.7,-13255.1
1,1.66,-13255.2,-13255.6
1,1.68,-13255.8,-13256.1
1,1.7,-13256.3,-13256.6
1,1.72,-13256.8,-13257.1
1,1.74,-13257.4,-13257.6
1,1.76,-13257.9,-13258.1
1,1.78,-13258.4,-13258.6
1,1.8,-13258.9,-13259
1,1.82,-13259.3,-13259.5
1,1.84,-13259.8,-13260
1,1.86,-13260.3,-13260.4
1,1.88,-13260.7,-13260.8
1,1.9,-13261.2,-13261.3
1,1.92,-13261.6,-13261.7
1,1.94,-13262.1,-13262.1
1,1.96,-13262.5,-13262.5
1,1.98,-13262.9,-13262.9
2,0.02,-13296.5,-13295.3
2,0.04,-13291.3,-13290.6
2,0.06,-13286.6,-13286.1
2,0.08,-13282.2,-13282
2,0.1,-13278.2,-13278.1
2,0.12,-13274.5,-13274.5
2,0.14,-13271,-13271.1
2,0.16,-13267.8,-13267.9
2,0.18,-13264.8,-13265
2,0.2,-13262.1,-13262.3
2,0.22,-13259.6,-13259.7
2,0.24,-13257.2,-13257.4
2,0.26,-13255,-13255.2
2,0.28,-13253,-13253.1
2,0.3,-13251.2,-13251.3
2,0.32,-13249.5,-13249.5
2,0.34,-13247.9,-13247.9
2,0.36,-13246.4,-13246.4
2,0.38,-13245.1,-13245
2,0.4,-13243.8,-13243.7
2,0.42,-13242.7,-13242.6
2,0.44,-13241.6,-13241.5
2,0.46,-13240.6,-13240.5
2,0.48,-13239.7,-13239.6
2,0.5,-13238.9,-13238.8
2,0.52,-13238.2,-13238
2,0.54,-13237.5,-13237.3
2,0.56,-13236.9,-13236.7
2,0.58,-13236.3,-13236.2
2,0.6,-13235.8,-13235.6
2,0.62,-13235.4,-13235.2
2,0.64,-13234.9,-13234.8
2,0.66,-13234.6,-13234.4
2,0.68,-13234.2,-13234.1
2,0.7,-13234,-13233.8
2,0.72,-13233.7,-13233.6
2,0.74,-13233.5,-13233.4
2,0.76,-13233.3,-13233.2
2,0.78,-13233.1,-13233.1
2,0.8,-13233,-13232.9
2,0.82,-13232.9,-13232.8
2,0.84,-13232.8,-13232.8
2,0.86,-13232.7,-13232.7
2,0.88,-13232.7,-13232.7
2,0.9,-13232.7,-13232.7
2,0.92,-13232.7,-13232.7
2,0.94,-13232.7,-13232.7
2,0.96,-13232.7,-13232.8
2,0.98,-13232.7,-13232.8
2,1,-13232.8,-13232.9
2,1.02,-13232.9,-13232.9
2,1.04,-13232.9,-13233
2,1.06,-13233,-13233.1
2,1.08,-13233.1,-13233.2
2,1.1,-13233.2,-13233.3
2,1.12,-13233.3,-13233.5
2,1.14,-13233.4,-13233.6
2,1.16,-13233.5,-13233.7
2,1.18,-13233.7,-13233.8
2,1.2,-13233.8,-13234
2,1.22,-13233.9,-13234.1
2,1.24,-13234.1,-13234.3
2,1.26,-13234.2,-13234.4
2,1.28,-13234.4,-13234.5
2,1.3,-13234.5,-13234.7
2,1.32,-13234.7,-13234.8
2,1.34,-13234.8,-13235
2,1.36,-13235,-13235.2
2,1.38,-13235.1,-13235.3
2,1.4,-13235.3,-13235.5
2,1.42,-13235.4,-13235.6
2,1.44,-13235.6,-13235.8
2,1.46,-13235.7,-13235.9
2,1.48,-13235.9,-13236.1
2,1.5,-13236,-13236.2
2,1.52,-13236.2,-13236.4
2,1.54,-13236.4,-13236.5
2,1.56,-13236.5,-13236.7
2,1.58,-13236.7,-13236.8
2,1.6,-13236.8,-13237
2,1.62,-13237,-13237.1
2,1.64,-13237.1,-13237.3
2,1.66,-13237.3,-13237.4
2,1.68,-13237.4,-13237.6
2,1.7,-13237.6,-13237.7
2,1.72,-13237.7,-13237.8
2,1.74,-13237.9,-13238
2,1.76,-13238,-13238.1
2,1.78,-13238.1,-13238.2
2,1.8,-13238.3,-13238.4
2,1.82,-13238.4,-13238.5
2,1.84,-13238.5,-13238.6
2,1.86,-13238.7,-13238.7
2,1.88,-13238.8,-13238.9
2,1.9,-13238.9,-13239
2,1.92,-13239.1,-13239.1
2,1.94,-13239.2,-13239.2
2,1.96,-13239.3,-13239.3
2,1.98,-13239.4,-13239.4
3,0.01,-13233.5,-13233.5
3,0.02,-13233.3,-13233.3
3,0.03,-13233,-13233
3,0.04,-13232.9,-13232.9
3,0.05,-13232.7,-13232.8
3,0.06,-13232.7,-13232.7
3,0.07,-13232.7,-13232.7
3,0.08,-13232.7,-13232.7
3,0.09,-13232.8,-13232.8
3,0.1,-13232.9,-13232.9
3,0.11,-13233.1,-13233.1
3,0.12,-13233.3,-13233.3
3,0.13,-13233.5,-13233.5
3,0.14,-13233.8,-13233.8
3,0.15,-13234.1,-13234.1
3,0.16,-13234.5,-13234.5
3,0.17,-13234.8,-13234.8
3,0.18,-13235.3,-13235.2
3,0.19,-13235.7,-13235.7
3,0.2,-13236.1,-13236.1
3,0.21,-13236.6,-13236.6
3,0.22,-13237.1,-13237.1
3,0.23,-13237.7,-13237.7
3,0.24,-13238.2,-13238.2
3,0.25,-13238.8,-13238.8
3,0.26,-13239.4,-13239.4
3,0.27,-13240,-13240
3,0.28,-13240.6,-13240.7
3,0.29,-13241.3,-13241.3
3,0.3,-13242,-13242
3,0.31,-13242.6,-13242.7
3,0.32,-13243.3,-13243.4
3,0.33,-13244,-13244.1
3,0.34,-13244.8,-13244.8
3,0.35,-13245.5,-13245.6
3,0.36,-13246.2,-13246.3
3,0.37,-13247,-13247.1
3,0.38,-13247.8,-13247.8
3,0.39,-13248.5,-13248.6
3,0.4,-13249.3,-13249.4
3,0.41,-13250.1,-13250.2
3,0.42,-13250.9,-13251
3,0.43,-13251.7,-13251.8
3,0.44,-13252.5,-13252.6
3,0.45,-13253.3,-13253.4
3,0.46,-13254.2,-13254.2
3,0.47,-13255,-13255
3,0.48,-13255.8,-13255.8
3,0.49,-13256.7,-13256.7
3,0.5,-13257.5,-13257.5
3,0.51,-13258.3,-13258.3
3,0.52,-13259.2,-13259.2
3,0.53,-13260,-13260
3,0.54,-13260.9,-13260.8
3,0.55,-13261.8,-13261.7
3,0.56,-13262.6,-13262.5
3,0.57,-13263.5,-13263.3
3,0.58,-13264.3,-13264.2
3,0.59,-13265.2,-13265
3,0.6,-13266.1,-13265.8
3,0.61,-13266.9,-13266.7
3,0.62,-13267.8,-13267.5
3,0.63,-13268.6,-13268.3
3,0.64,-13269.5,-13269.2
3,0.65,-13270.4,-13270
3,0.66,-13271.2,-13270.8
3,0.67,-13272.1,-13271.6
3,0.68,-13272.9,-13272.4
3,0.69,-13273.8,-13273.3
3,0.7,-13274.6,-13274.1
3,0.71,-13275.5,-13274.9
3,0.72,-13276.3,-13275.7
3,0.73,-13277.2,-13276.5
3,0.74,-13278,-13277.3
3,0.75,-13278.9,-13278
3,0.76,-13279.7,-13278.8
3,0.77,-13280.5,-13279.6
3,0.78,-13281.4,-13280.4
3,0.79,-13282.2,-13281.2
3,0.8,-13283,-13281.9
3,0.81,-13283.9,-13282.7
3,0.82,-13284.7,-13283.4
3,0.83,-13285.5,-13284.2
3,0.84,-13286.3,-13284.9
3,0.85,-13287.1,-13285.7
3,0.86,-13287.9,-13286.4
3,0.87,-13288.7,-13287.2
3,0.88,-13289.5,-13287.9
3,0.89,-13290.3,-13288.6
3,0.9,-13291.1,-13289.3
3,0.91,-13291.9,-13290
3,0.92,-13292.6,-13290.7
3,0.93,-13293.4,-13291.4
3,0.94,-13294.2,-13292.1
3,0.95,-13295,-13292.8
3,0.96,-13295.7,-13293.5
3,0.97,-13296.5,-13294.1
3,0.98,-13297.2,-13294.8
3,0.99,-13298,-13295.5
4,0.02,-13972,-13858.2
4,0.04,-13863.9,-13799.7
4,0.06,-13780.4,-13746.3
4,0.08,-13712.8,-13697.4
4,0.1,-13656.7,-13652.8
4,0.12,-13609.1,-13612
4,0.14,-13568.1,-13574.8
4,0.16,-13532.4,-13540.8
4,0.18,-13501.1,-13509.7
4,0.2,-13473.4,-13481.4
4,0.22,-13448.8,-13455.6
4,0.24,-13426.8,-13432.1
4,0.26,-13407,-13410.7
4,0.28,-13389.3,-13391.2
4,0.3,-13373.3,-13373.6
4,0.32,-13358.8,-13357.5
4,0.34,-13345.7,-13343
4,0.36,-13333.8,-13329.8
4,0.38,-13323,-13318
4,0.4,-13313.2,-13307.3
4,0.42,-13304.3,-13297.6
4,0.44,-13296.2,-13289
4,0.46,-13288.8,-13281.2
4,0.48,-13282.2,-13274.3
4,0.5,-13276.1,-13268.2
4,0.52,-13270.7,-13262.7
4,0.54,-13265.7,-13257.9
4,0.56,-13261.3,-13253.7
4,0.58,-13257.3,-13250
4,0.6,-13253.7,-13246.8
4,0.62,-13250.4,-13244.1
4,0.64,-13247.6,-13241.7
4,0.66,-13245,-13239.8
4,0.68,-13242.8,-13238.2
4,0.7,-13240.8,-13236.9
4,0.72,-13239.1,-13235.8
4,0.74,-13237.6,-13235.1
4,0.76,-13236.4,-13234.5
4,0.78,-13235.3,-13234.2
4,0.8,-13234.5,-13234.1
4,0.82,-13233.8,-13234.1
4,0.84,-13233.3,-13234.3
4,0.86,-13233,-13234.6
4,0.88,-13232.7,-13235.1
4,0.9,-13232.7,-13235.7
4,0.92,-13232.7,-13236.3
4,0.94,-13232.9,-13237.1
4,0.96,-13233.2,-13237.9
4,0.98,-13233.5,-13238.8
4,1,-13234,-13239.7
4,1.02,-13234.5,-13240.7
4,1.04,-13235.1,-13241.8
4,1.06,-13235.8,-13242.8
4,1.08,-13236.6,-13244
4,1.1,-13237.4,-13245.1
4,1.12,-13238.2,-13246.2
4,1.14,-13239.1,-13247.4
4,1.16,-13240.1,-13248.6
4,1.18,-13241.1,-13249.8
4,1.2,-13242.1,-13251
4,1.22,-13243.2,-13252.2
4,1.24,-13244.3,-13253.3
4,1.26,-13245.4,-13254.5
4,1.28,-13246.6,-13255.7
4,1.3,-13247.7,-13256.9
4,1.32,-13248.9,-13258
4,1.34,-13250.1,-13259.2
4,1.36,-13251.3,-13260.3
4,1.38,-13252.6,-13261.4
4,1.4,-13253.8,-13262.5
4,1.42,-13255,-13263.6
4,1.44,-13256.3,-13264.6
4,1.46,-13257.5,-13265.7
4,1.48,-13258.8,-13266.7
4,1.5,-13260,-13267.7
4,1.52,-13261.3,-13268.7
4,1.54,-13262.5,-13269.7
4,1.56,-13263.7,-13270.6
4,1.58,-13265,-13271.5
4,1.6,-13266.2,-13272.4
4,1.62,-13267.4,-13273.3
4,1.64,-13268.6,-13274.2
4,1.66,-13269.8,-13275
4,1.68,-13271,-13275.9
4,1.7,-13272.2,-13276.7
4,1.72,-13273.4,-13277.4
4,1.74,-13274.5,-13278.2
4,1.76,-13275.7,-13278.9
4,1.78,-13276.8,-13279.7
4,1.8,-13277.9,-13280.4
4,1.82,-13279,-13281
4,1.84,-13280.1,-13281.7
4,1.86,-13281.2,-13282.4
4,1.88,-13282.2,-13283
4,1.9,-13283.3,-13283.6
4,1.92,-13284.3,-13284.2
4,1.94,-13285.3,-13284.8
4,1.96,-13286.3,-13285.3
4,1.98,-13287.3,-13285.9
5,0.01,-13258.5,-13258.3
5,0.02,-13256.9,-13256.7
5,0.03,-13255.4,-13255.3
5,0.04,-13254,-13253.9
5,0.05,-13252.7,-13252.6
5,0.06,-13251.4,-13251.3
5,0.07,-13250.1,-13250.1
5,0.08,-13249,-13249
5,0.09,-13247.9,-13247.9
5,0.1,-13246.8,-13246.8
5,0.11,-13245.8,-13245.8
5,0.12,-13244.9,-13244.9
5,0.13,-13244,-13244
5,0.14,-13243.1,-13243.1
5,0.15,-13242.3,-13242.3
5,0.16,-13241.5,-13241.5
5,0.17,-13240.8,-13240.8
5,0.18,-13240.1,-13240.1
5,0.19,-13239.5,-13239.5
5,0.2,-13238.9,-13238.9
5,0.21,-13238.3,-13238.3
5,0.22,-13237.8,-13237.8
5,0.23,-13237.3,-13237.3
5,0.24,-13236.8,-13236.8
5,0.25,-13236.4,-13236.4
5,0.26,-13236,-13235.9
5,0.27,-13235.6,-13235.6
5,0.28,-13235.2,-13235.2
5,0.29,-13234.9,-13234.9
5,0.3,-13234.6,-13234.6
5,0.31,-13234.3,-13234.3
5,0.32,-13234.1,-13234.1
5,0.33,-13233.9,-13233.8
5,0.34,-13233.7,-13233.6
5,0.35,-13233.5,-13233.4
