node_id,branch_length,ll
0,0.1,-13259.9
0,0.2,-13246.1
0,0.5,-13232.7
0,1,-13243.6
1,0.1,-13317.9
1,0.2,-13284
1,0.5,-13239.6
1,1,-13236.1
1,2,-13263.3
2,0.1,-13278.2
2,0.2,-13262.1
2,0.5,-13238.9
2,1,-13232.8
2,2,-13239.6
3,0.01,-13233.5
3,0.1,-13232.9
3,0.2,-13236.1
3,0.5,-13257.5
4,0.1,-13656.7
4,0.2,-13473.4
4,0.5,-13276.1
4,1,-13234
4,2,-13288.3
5,0.1,-13246.8
5,0.2,-13238.9
5,0.5,-13232.8
5,1,-13243.7
6,0.1,-13329.7
6,0.2,-13293.8
6,0.5,-13243.9
6,1,-13233.8
6,2,-13254.6
7,1e-07,-13231.7
7,1e-06,-13231.7
7,1e-05,-13231.7
7,0.0001,-13231.7
7,0.001,-13231.8
7,0.01,-13232.3
7,0.1,-13238.4
7,0.2,-13245.7
7,0.5,-13268.4
8,0.1,-13269.9
8,0.2,-13238.9
8,0.5,-13210.2
8,1,-13229.9
9,0.1,-13223.3
9,0.2,-13221.6
9,0.35,-13225.5
9,0.5,-13233.5
10,0.1,-13241.7
10,0.2,-13234.7
10,0.5,-13231.3
10,1,-13245.4
11,0.1,-13229.6
11,0.2,-13222.9
11,0.35,-13224.6
11,0.5,-13233.8
12,0.1,-13254.8
12,0.2,-13234.1
12,0.5,-13225.2
12,1,-13263.7
13,0.1,-13278.8
13,0.2,-13259.5
13,0.5,-13235.5
13,1,-13235.5
14,0.1,-13241.6
14,0.2,-13233.2
14,0.35,-13236.5
14,0.5,-13249.4
15,0.1,-13345.7
15,0.2,-13284.4
15,0.5,-13232.8
15,1,-13268.2
16,0.1,-13232.6
16,0.2,-13231.8
16,0.35,-13234.4
16,0.5,-13239.4
17,1e-07,-13232.7
17,1e-06,-13232.7
17,1e-05,-13232.7
17,0.0001,-13232.7
17,0.001,-13232.7
17,0.01,-13232.9
17,0.1,-13235.1
17,0.2,-13238.1
17,0.5,-13247.8
