iter,c,m,r,b,status
1,10401.876236,8726.095256,2.009557,0.709907,success
2,10181.309643,8958.075216,1.862787,0.932445,success
3,10171.498400,8973.485660,1.609482,1.165862,success
4,10219.525791,8933.482163,1.428759,1.349582,success
5,10242.142428,8914.990149,1.374722,1.424083,success
6,10244.527292,8913.016173,1.369308,1.433390,success
7,10244.557341,8912.990353,1.369240,1.433520,success
1,10416.372018,8729.791116,1.873157,0.724158,success
2,10215.394790,8933.856557,1.597563,0.969470,success
3,10230.785316,8923.748109,1.381998,1.174101,success
4,10248.747449,8909.221992,1.324447,1.261007,success
5,10250.959217,8907.388012,1.317365,1.274145,success
6,10251.044037,8907.316243,1.317131,1.274498,success
7,10251.045637,8907.314909,1.317127,1.274501,success
1,10306.247122,8796.213494,1.986528,0.724644,success
2,9963.325362,9140.656476,1.869100,0.965458,success
3,9860.828557,9243.853808,1.630473,1.229146,success
4,9870.693348,9235.313128,1.433441,1.451031,success
5,9880.670775,9226.248036,1.377721,1.543768,success
6,9881.855957,9225.168789,1.370893,1.557393,success
7,9881.903788,9225.124604,1.370679,1.557747,success
8,9881.904745,9225.123720,1.370676,1.557750,success
1,10332.952716,8791.436121,2.203496,0.684189,success
2,10371.419527,8838.663367,2.092740,0.877303,success
3,10503.685036,8720.804359,1.819148,1.091891,success
4,10612.864590,8630.099954,1.571762,1.301988,success
5,10676.220817,8580.649432,1.447703,1.440953,success
6,10693.707628,8566.910874,1.418410,1.483748,success
7,10694.926594,8565.901768,1.416593,1.486910,success
8,10694.932982,8565.896211,1.416585,1.486926,success
1,10367.903801,8819.975385,1.844955,0.588184,success
2,10394.863591,8794.842501,1.749682,0.612234,success
3,10404.185868,8787.002206,1.741316,0.615329,success
4,10404.796940,8786.492762,1.740291,0.615652,success
5,10404.869680,8786.431278,1.740171,0.615687,success
1,10384.611820,8736.066821,2.030155,0.712806,success
2,10146.689331,8985.956771,1.915626,0.940183,success
3,10118.217231,9018.495435,1.673424,1.192137,success
4,10160.168804,8982.977098,1.446752,1.430939,success
5,10192.119135,8956.247592,1.347708,1.571047,success
6,10199.232671,8950.268108,1.328881,1.605758,success
7,10199.558790,8949.983998,1.328063,1.607510,success
8,10199.559591,8949.983277,1.328061,1.607514,success
1,10358.094897,8773.187043,1.893423,0.722652,success
2,10117.754302,9015.953201,1.632842,0.965049,success
3,10128.102730,9009.763646,1.399188,1.173421,success
4,10149.604263,8991.562140,1.336431,1.262916,success
5,10152.019944,8989.532706,1.328612,1.276882,success
6,10152.121366,8989.445102,1.328333,1.277284,success
7,10152.123595,8989.443179,1.328328,1.277288,success
1,10234.577626,8867.063208,2.250021,0.687235,success
2,10239.860668,8961.941783,2.202730,0.884066,success
3,10372.158258,8839.510054,1.965055,1.112109,success
4,10501.324437,8722.130950,1.669960,1.381525,success
