node_id,lcfit_t,lcfit_n,brent_t,brent_n,lcfit_fit_t,lcfit_fit_n
0,0.513794,4,0.523344,9,0.513794,4
1,0.752963,7,0.757685,10,0.742988,5
2,0.911004,7,0.916497,10,0.901228,5
3,0.067426,6,0.0598131,12,0.0678015,4
4,0.870685,7,0.898886,10,0.805435,5
5,0.447719,4,0.450675,10,0.447719,4
6,0.843161,7,0.84613,10,0.831478,5
7,1e-07,9,1e-06,5,-0.252565,9
8,0.513803,4,0.531621,9,0.513803,4
9,0.187813,6,0.184637,10,0.188431,4
10,0.392667,4,0.39675,9,0.392667,4
11,0.247975,6,0.250944,10,0.248614,4
12,0.385756,4,0.387558,9,0.385756,4
13,0.707145,6,0.7162,8,0.701867,4
14,0.237298,6,0.235747,10,0.238448,4
15,0.49899,4,0.527803,9,0.49899,4
16,0.180499,6,0.174198,10,0.180912,4
17,1e-07,9,1e-06,5,-0.181837,9
